Date	PM2.5	Aluminum	Ammonium Ion	Arsenic	Barium	Bromine	Calcium	Chlorine	Chromium	Copper	Elemental Carbon	Iron	Lead	Manganese	Nickel	Organic Carbon	OM	Potassium Ion	Selenium	Silicon	Sodium Ion	Sulfate	Titanium	Total Nitrate	Vanadium	Zinc
6/27/2001	3.45	0.020833333	0.224072836	0.003166667	0.074166667	0.001244835	0.012186287	0.0125	0.002166667	0.001598999	0.116198744	0.013264382	0.007416667	0.002916667	0.001320815	0.8853516	1.23949224	0.021211482	0.002833333	0.021029741	0.046338487	0.534148428	0.002852833	0.081249284	0.002084875	0.002855984
6/30/2001	3.59	0.020833333	0.259230854	0.003166667	0.074166667	0.001249091	0.013746033	0.0125	0.002166667	0.001633994	0.110621008	0.012516622	0.007416667	0.002143912	0.001281775	0.787418003	1.102385205	0.021576138	0.002833333	0.022976727	0.05569245	0.608883029	0.006419927	0.091153312	0.001685178	0.002202372
7/3/2001	1.52	0.020833333	0.091569022	0.003166667	0.074166667	0.001175716	0.011716612	0.0125	0.002166667	0.002166667	0.125447333	0.011803836	0.007416667	0.002916667	0.001583333	0.459445981	0.643224373	0.021224981	0.002669355	0.019882062	0.03297452	0.224542164	0.003144378	0.075075354	0.003166667	0.002140477
7/6/2001	0.56	0.020833333	0.05298911	0.003166667	0.074166667	0.002666667	0.012115793	0.0125	0.002166667	0.001602583	0.107584067	0.010920008	0.007416667	0.002916667	0.001583333	0.352255643	0.4931579	0.021068533	0.002833333	0.018740227	0.030018425	0.11321618	0.004416667	0.073102461	0.003166667	0.002084288
7/12/2001	1.21	0.020833333	0.111296387	0.003166667	0.074166667	0.002666667	0.013119586	0.0125	0.002166667	0.002166667	0.10754653	0.01097415	0.007416667	0.002916667	0.001583333	0.344079888	0.481711843	0.020842355	0.002833333	0.019250977	0.025	0.255553328	0.004416667	0.072774369	0.003166667	0.002144275
7/15/2001	1.32	0.020833333	0.083515782	0.003166667	0.074166667	0.002666667	0.01149786	0.0125	0.002166667	0.002166667	0.105596559	0.010725492	0.007416667	0.002916667	0.001583333	0.396287661	0.554802725	0.02091744	0.002833333	0.019042398	0.029915891	0.186616139	0.004416667	0.072947449	0.003166667	0.00222158
7/18/2001	3.07	0.020833333	0.260700759	0.003166667	0.074166667	0.001198134	0.011521358	0.0125	0.002166667	0.002166667	0.115355996	0.011080759	0.007416667	0.002916667	0.001583333	0.890229625	1.246321475	0.021092846	0.002833333	0.020125668	0.138445509	0.573440968	0.004416667	0.114197751	0.003166667	0.002140477
7/21/2001	1.3	0.020833333	0.071520108	0.003166667	0.074166667	0.001180839	0.011697767	0.0125	0.002166667	0.001593872	0.122118776	0.012221941	0.003106125	0.002916667	0.001583333	0.535077946	0.749109124	0.021170628	0.002833333	0.019228232	0.070232737	0.170345482	0.002780519	0.074055346	0.003166667	0.002148172
7/24/2001	1.24	0.020833333	0.079275695	0.003166667	0.074166667	0.002666667	0.012094859	0.0125	0.002166667	0.002166667	0.108514438	0.011341036	0.007416667	0.002916667	0.001329946	0.418316542	0.585643159	0.021090248	0.002833333	0.021175458	0.136108278	0.23669048	0.005340021	0.074811605	0.001999421	0.00209077
7/30/2001	0.66	0.020833333	0.061808784	0.003166667	0.074166667	0.002666667	0.011660409	0.0125	0.002166667	0.002166667	0.106200946	0.010733268	0.007416667	0.002916667	0.001302173	0.353641081	0.495097513	0.020870519	0.002833333	0.019793747	0.107876955	0.145967062	0.002754423	0.074458889	0.003166667	0.002916667
8/2/2001	1.27	0.020833333	0.072352511	0.003166667	0.074166667	0.001193822	0.013799387	0.0125	0.002166667	0.002166667	0.114959107	0.020873903	0.007416667	0.002162562	0.001512163	0.42556217	0.595787037	0.021441473	0.00167817	0.020821998	0.096367585	0.181985448	0.003182247	0.074968201	0.002532114	0.004376807
8/4/2001	1.88	0.020833333	0.205150886	0.003166667	0.074166667	0.001297719	0.011539116	0.0125	0.002166667	0.002166667	0.208333333	0.015719346	0.007416667	0.002143597	0.001278918	0.585709814	0.819993739	0.021692528	0.002833333	0.019524344	0.108537178	0.636492375	0.002750521	0.07427387	0.001763855	0.002379983
8/8/2001	4.42	0.020833333	0.369649342	0.003166667	0.074166667	0.001212749	0.015153601	0.0125	0.002166667	0.002166667	0.112593003	0.011775224	0.007416667	0.002916667	0.001583333	0.678690788	0.950167103	0.02100959	0.001312818	0.021789906	0.073085666	0.965576793	0.002799501	0.073183211	0.003166667	0.002172077
8/11/2001	1.44	0.020833333	0.137162808	0.003166667	0.074166667	0.002666667	0.010712073	0.0125	0.002166667	0.002166667	0.119077869	0.010982073	0.007416667	0.002916667	0.001277805	0.410356666	0.574499332	0.020948901	0.002833333	0.01885961	0.08528978	0.275066507	0.004416667	0.132851708	0.00172607	0.002230704
8/14/2001	2.22	0.020833333	0.209023649	0.003166667	0.074166667	0.002666667	0.011389076	0.0125	0.002166667	0.001617884	0.120948585	0.012350864	0.002847008	0.002916667	0.001583333	0.506765219	0.709471307	0.02	0.002833333	0.018733203	0.072132804	0.436479717	0.004416667	0.120803337	0.003166667	0.002358186
8/17/2001	2.72	0.020833333	6.74	0.003166667	0.074166667	0.001171092	0.01197136	0.0125	0.002166667	0.001601976	0.117923627	0.012127466	0.007416667	0.002123781	0.001354756	0.604073163	0.845702428	0.2288	0.001364697	0.019403103	0.3524	15.04	0.00337397	5.08	0.002188798	0.002176613
8/23/2001	2.56	0.028665448	0.182029904	0.003166667	0.074166667	0.00118988	0.013888905	0.0125	0.002166667	0.001775845	0.11096774	0.012158743	0.007416667	0.002218316	0.001342681	0.739447735	1.035226828	0.021023523	0.001249423	0.023278316	0.028551829	0.412430822	0.004273733	0.079942768	0.0025	0.002209218
